event_id,category_id,name,time
243096796,22,Reiki 2 - Usui Shiki Ryoho - Usui Method of Natural Healing,2017-10-14 18:00:00
243389366,22,7 Teachings Of The Mystery Schools For Modern Living (FREE),2017-10-12 00:00:00
hctshlywnbmb,22,"Reiki & Sound with Robin - Franklin, TN",2017-10-09 23:30:00
242895216,22,Learn to Read the Tarot & Receive a Psychic Attunement!,2017-10-07 14:00:00
pnbgflywnbhb,22,"FREE! The Basics of Reiki, Chakra Balancing & Energy Healing (Reiki Share)",2017-10-05 23:30:00
hctshlywnbdb,22,"Reiki & Sound with Robin - Franklin, TN",2017-10-02 23:30:00
242959306,22,Reiki 1 - Usui Shiki Ryoho - Usui Method of Natural Healing,2017-10-01 18:00:00
242774185,22,Hypnosis Certification Course National Guild of Hypnotists,2017-10-01 13:30:00
pnbgflywmblc,22,"FREE! The Basics of Reiki, Chakra Balancing & Energy Healing (Reiki Share)",2017-09-28 23:30:00
242803251,22,Introduction to Reading the Tarot,2017-09-27 23:30:00
hctshlywmbhc,22,"Reiki & Sound with Robin - Franklin, TN",2017-09-25 23:30:00
243341469,22,World Peace day Celebrations,2017-09-23 16:00:00
243151723,22,Usui Tibetan Reiki Levels 1&2 Certification Class and Attunements - 12 CEU's,2017-09-23 15:00:00
243381957,22,Equinox Sound Healing & Group Mantra Meditation,2017-09-23 00:00:00
243120185,22,Mediumship and Intuitive Development Circle,2017-09-22 00:00:00
pnbgflywmbcc,22,"FREE! The Basics of Reiki, Chakra Balancing & Energy Healing (Reiki Share)",2017-09-21 23:30:00
hctshlywmbxb,22,"Reiki & Sound with Robin - Franklin, TN",2017-09-18 23:30:00
cxchpmywmbvb,22,Sacred Sound Immersion Meditation,2017-09-16 23:30:00
cpqkpmywmbvb,22,Spirit Cafe: The Ascension with L'Vereese Britten,2017-09-16 23:00:00
242803202,22,Reconnective Healing Experiential Introduction w/ Jeff Crawford,2017-09-16 16:00:00
243119540,22,Messages From The Other Side-Mediumship Group Reading,2017-09-16 00:00:00
242833879,22,Talking with Heaven - group reading with Lee Ashley,2017-09-15 00:00:00
243001112,22,Meditation for All. Affordable and Simple (West Nashville),2017-09-15 00:00:00
pnbgflywmbsb,22,"FREE! The Basics of Reiki, Chakra Balancing & Energy Healing (Reiki Share)",2017-09-14 23:30:00
243341396,22,Inner Engineering Total,2017-09-14 23:30:00
243336476,22,Meditation: How to Quiet the Monkey Mind (Free),2017-09-14 00:00:00
hctshlywmbpb,22,"Reiki & Sound with Robin - Franklin, TN",2017-09-11 23:30:00
242528355,22,"THE POWER OF YOUR INTUITION: RE-PROGRAMMING & MASTERING THE SUB-CONCIOUS MIND""",2017-09-09 22:00:00
243210934,22,SOUND Healing - BioAcoustically!,2017-09-09 16:00:00
242670550,22,Native American Drum Making & Shamanic Journey Class,2017-09-09 15:00:00
242803131,22,Usui Tibetan Reiki Levels 1&2 Certification Class and Attunements - 12 CEU's,2017-09-09 15:00:00
pnbgflywmbkb,22,"FREE! The Basics of Reiki, Chakra Balancing & Energy Healing (Reiki Share)",2017-09-07 23:30:00
242984972,22,Gathering With Archangel Michael Saturday September 2nd at Cosmic Connections,2017-09-02 16:30:00
pnbgflywlbpc,22,"FREE! The Basics of Reiki, Chakra Balancing & Energy Healing (Reiki Share)",2017-08-31 23:30:00
242773517,22,Hypnosis Healing Power: October's Hypnosis Certification Course Can do for YOU!,2017-08-31 23:00:00
240807385,22,Learn to Read the Tarot & Receive a Psychic Attunement!,2017-08-26 14:00:00
242703786,22,Manifest Your Dreams with a Vision Board,2017-08-25 23:00:00
pnbgflywlbgc,22,"FREE! The Basics of Reiki, Chakra Balancing & Energy Healing (Reiki Share)",2017-08-24 23:30:00
242438947,22,SOLAR ECLIPSE EVENT AND WORKSHOP with TRANCE CHANNEL JEFF FASANO,2017-08-22 00:00:00
hctshlywlbcc,22,"Reiki & Sound with Robin - Franklin, TN",2017-08-21 23:30:00
242483622,22,Solar Eclipse + New Moon Sound Healing + Oneness Blessing,2017-08-20 23:30:00
241392228,22,Learn to Be a Distance Healer,2017-08-20 15:00:00
cxchpmywlbzb,22,Sacred Sound Immersion Meditation,2017-08-19 23:30:00
cpqkpmywlbzb,22,Spirit Cafe: The Ascension with L'Vereese Britten,2017-08-19 23:00:00
241118948,22,The Wicked Awesome Fortune Telly Show!,2017-08-19 00:00:00
pnbgflywlbwb,22,"FREE! The Basics of Reiki, Chakra Balancing & Energy Healing (Reiki Share)",2017-08-17 23:30:00
hctshlywlbsb,22,"Reiki & Sound with Robin - Franklin, TN",2017-08-14 23:30:00
241903574,22,THE POWER OF YOUR INTUITION: CLASS #1 OF 4,2017-08-12 22:00:00
241773548,22,Reiki 1 Certification - Usui Shiki Ryoho - Usui Method of Natural Healing,2017-08-12 18:00:00
241392195,22,Psychic Defense Class,2017-08-12 15:00:00
241816193,22,Native American Drum Making Class,2017-08-12 15:00:00
242436069,22,Rockin' Rock Event!  Curio Grove Trunk Show,2017-08-12 15:00:00
241765514,22,What are Hara Lines and What Do they Do?,2017-08-12 14:00:00
